# SPA 2025-26 carrier rows — transcribed from fbref.com 2025-2026 La Liga Scores & Fixtures
# (fetched 2026-08-06, 25 chunks). Format: MD|YYYY-MM-DD|Home|HG|AG|Away|Venue
# Names already mapped to workorder roster strings.
MD35|2026-05-10|Ath Bilbao|0|1|Valencia|San Mamés
MD35|2026-05-10|Oviedo|0|0|Getafe|Estadio Nuevo Carlos Tartiere
MD35|2026-05-10|Barcelona|2|0|Real Madrid|Spotify Camp Nou
MD35|2026-05-11|Vallecano|1|1|Girona|Campo de Fútbol de Vallecas
MD36|2026-05-12|Celta|2|3|Levante|Estadio Abanca Balaídos
MD36|2026-05-12|Betis|2|1|Elche|Estadio La Cartuja de Sevilla
MD36|2026-05-12|Osasuna|1|2|Ath Madrid|Estadio El Sadar
MD36|2026-05-13|Villarreal|2|3|Sevilla|Estadio de la Cerámica
MD36|2026-05-13|Espanol|2|0|Ath Bilbao|RCDE Stadium
MD36|2026-05-13|Alaves|1|0|Barcelona|Estadio de Mendizorroza
MD36|2026-05-13|Getafe|3|1|Mallorca|Coliseum Alfonso Pérez
MD36|2026-05-14|Valencia|1|1|Vallecano|Estadio de Mestalla
MD36|2026-05-14|Girona|1|1|Sociedad|Estadi Municipal de Montilivi
MD36|2026-05-14|Real Madrid|2|0|Oviedo|Estadio Santiago Bernabéu
MD37|2026-05-17|Elche|1|0|Getafe|Estadio Manuel Martínez Valero
MD37|2026-05-17|Sevilla|0|1|Real Madrid|Estadio Ramón Sánchez Pizjuán
MD37|2026-05-17|Sociedad|3|4|Valencia|Reale Arena
MD37|2026-05-17|Ath Bilbao|1|1|Celta|San Mamés
MD37|2026-05-17|Oviedo|0|1|Alaves|Estadio Nuevo Carlos Tartiere
MD37|2026-05-17|Vallecano|2|0|Villarreal|Campo de Fútbol de Vallecas
MD37|2026-05-17|Osasuna|1|2|Espanol|Estadio El Sadar
MD37|2026-05-17|Ath Madrid|1|0|Girona|Riyadh Air Metropolitano
MD37|2026-05-17|Levante|2|0|Mallorca|Estadio Ciudad de Valencia
MD37|2026-05-17|Barcelona|3|1|Betis|Spotify Camp Nou
MD38|2026-05-23|Espanol|1|1|Sociedad|RCDE Stadium
MD38|2026-05-23|Mallorca|3|0|Oviedo|Estadi Mallorca Son Moix
MD38|2026-05-23|Girona|1|1|Elche|Estadi Municipal de Montilivi
MD38|2026-05-23|Betis|2|1|Levante|Estadio La Cartuja de Sevilla
MD38|2026-05-23|Celta|1|0|Sevilla|Estadio Abanca Balaídos
MD38|2026-05-23|Getafe|1|0|Osasuna|Coliseum Alfonso Pérez
MD38|2026-05-23|Real Madrid|4|2|Ath Bilbao|Estadio Santiago Bernabéu
MD38|2026-05-23|Valencia|3|1|Barcelona|Estadio de Mestalla
MD38|2026-05-23|Alaves|1|2|Vallecano|Estadio de Mendizorroza
MD38|2026-05-24|Villarreal|5|1|Ath Madrid|Estadio de la Cerámica
